,column_name,columns_datatype,columns_field_name,dataset,department
0,SAT Writing Avg. Score,Text,sat_writing_avg_score,2012 SAT Results,Department of Education (DOE)
1,SCHOOL NAME,Text,school_name,2012 SAT Results,Department of Education (DOE)
2,SAT Math Avg. Score,Text,sat_math_avg_score,2012 SAT Results,Department of Education (DOE)
3,Num of SAT Test Takers,Text,num_of_sat_test_takers,2012 SAT Results,Department of Education (DOE)
4,DBN,Text,dbn,2012 SAT Results,Department of Education (DOE)
5,SAT Critical Reading Avg. Score,Text,sat_critical_reading_avg_score,2012 SAT Results,Department of Education (DOE)
6,Writing Mean,Number,writing_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
7,School Name,Text,school_name,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
8,DBN,Text,dbn,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
9,Mathematics Mean,Number,mathematics_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
10,Number of Test Takers,Number,number_of_test_takers,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
11,Critical Reading Mean,Number,critical_reading_mean,SAT (College Board) 2010 School Level Results,Department of Education (DOE)
12,District,Text,district,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
13,YTD % Attendance (Avg),Number,ytd_attendance_avg_,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
14,YTD Enrollment(Avg),Number,ytd_enrollment_avg_,2010 - 2011 School Attendance and Enrollment Statistics by District,Department of Education (DOE)
15,auditioninformation4,Text,auditioninformation4,2019 DOE High School Directory,Department of Education (DOE)
16,admissionspriority14,Text,admissionspriority14,2019 DOE High School Directory,Department of Education (DOE)
17,admissionspriority73,Text,admissionspriority73,2019 DOE High School Directory,Department of Education (DOE)
18,admissionspriority21,Text,admissionspriority21,2019 DOE High School Directory,Department of Education (DOE)
19,grade9geapplicantsperseat1,Number,grade9geapplicantsperseat1,2019 DOE High School Directory,Department of Education (DOE)
20,requirement3_10,Text,requirement3_10,2019 DOE High School Directory,Department of Education (DOE)
21,admissionspriority36,Text,admissionspriority36,2019 DOE High School Directory,Department of Education (DOE)
22,applicants4specialized,Number,applicants4specialized,2019 DOE High School Directory,Department of Education (DOE)
23,grade9gefilledflag2,Text,grade9gefilledflag2,2019 DOE High School Directory,Department of Education (DOE)
24,end_time,Text,end_time,2019 DOE High School Directory,Department of Education (DOE)
25,admissionspriority48,Text,admissionspriority48,2019 DOE High School Directory,Department of Education (DOE)
26,admissionspriority56,Text,admissionspriority56,2019 DOE High School Directory,Department of Education (DOE)
27,pct_stu_safe,Number,pct_stu_safe,2019 DOE High School Directory,Department of Education (DOE)
28,attendance_rate,Number,attendance_rate,2019 DOE High School Directory,Department of Education (DOE)
29,common_audition8,Number,common_audition8,2019 DOE High School Directory,Department of Education (DOE)
30,admissionspriority61,Text,admissionspriority61,2019 DOE High School Directory,Department of Education (DOE)
31,grade9swdfilledflag4,Text,grade9swdfilledflag4,2019 DOE High School Directory,Department of Education (DOE)
32,grade9swdapplicants5,Text,grade9swdapplicants5,2019 DOE High School Directory,Department of Education (DOE)
33,grade9swdfilledflag6,Text,grade9swdfilledflag6,2019 DOE High School Directory,Department of Education (DOE)
34,admissionspriority28,Text,admissionspriority28,2019 DOE High School Directory,Department of Education (DOE)
35,prgdesc7,Text,prgdesc7,2019 DOE High School Directory,Department of Education (DOE)
36,earlycollege,Number,earlycollege,2019 DOE High School Directory,Department of Education (DOE)
37,grade9swdfilledflag9,Text,grade9swdfilledflag9,2019 DOE High School Directory,Department of Education (DOE)
38,program7,Text,program7,2019 DOE High School Directory,Department of Education (DOE)
39,common_audition4,Number,common_audition4,2019 DOE High School Directory,Department of Education (DOE)
40,admissionspriority78,Text,admissionspriority78,2019 DOE High School Directory,Department of Education (DOE)
41,requirement10_2,Text,requirement10_2,2019 DOE High School Directory,Department of Education (DOE)
42,admissionspriority52,Text,admissionspriority52,2019 DOE High School Directory,Department of Education (DOE)
43,requirement9_1,Text,requirement9_1,2019 DOE High School Directory,Department of Education (DOE)
44,common_audition6,Number,common_audition6,2019 DOE High School Directory,Department of Education (DOE)
45,auditioninformation6,Text,auditioninformation6,2019 DOE High School Directory,Department of Education (DOE)
46,school_accessibility_description,Number,school_accessibility_description,2019 DOE High School Directory,Department of Education (DOE)
47,requirement3_4,Text,requirement3_4,2019 DOE High School Directory,Department of Education (DOE)
48,advancedplacement_courses,Text,advancedplacement_courses,2019 DOE High School Directory,Department of Education (DOE)
49,requirement3_1,Text,requirement3_1,2019 DOE High School Directory,Department of Education (DOE)
50,requirement12_4,Text,requirement12_4,2019 DOE High School Directory,Department of Education (DOE)
51,directions4,Text,directions4,2019 DOE High School Directory,Department of Education (DOE)
52,grade9geapplicantsperseat2,Text,grade9geapplicantsperseat2,2019 DOE High School Directory,Department of Education (DOE)
53,requirement8_5,Text,requirement8_5,2019 DOE High School Directory,Department of Education (DOE)
54,requirement11_2,Text,requirement11_2,2019 DOE High School Directory,Department of Education (DOE)
55,campus_name,Text,campus_name,2019 DOE High School Directory,Department of Education (DOE)
56,directions10,Text,directions10,2019 DOE High School Directory,Department of Education (DOE)
57,grade9swdapplicants9,Text,grade9swdapplicants9,2019 DOE High School Directory,Department of Education (DOE)
58,appperseat4specialized,Number,appperseat4specialized,2019 DOE High School Directory,Department of Education (DOE)
59,admissionspriority410,Text,admissionspriority410,2019 DOE High School Directory,Department of Education (DOE)
60,admissionspriority59,Text,admissionspriority59,2019 DOE High School Directory,Department of Education (DOE)
61,admissionspriority110,Text,admissionspriority110,2019 DOE High School Directory,Department of Education (DOE)
62,grade9swdapplicantsperseat10,Text,grade9swdapplicantsperseat10,2019 DOE High School Directory,Department of Education (DOE)
63,grade9gefilledflag3,Text,grade9gefilledflag3,2019 DOE High School Directory,Department of Education (DOE)
64,seats106,Text,seats106,2019 DOE High School Directory,Department of Education (DOE)
65,transfer,Number,transfer,2019 DOE High School Directory,Department of Education (DOE)
66,pct_stu_enough_variety,Number,pct_stu_enough_variety,2019 DOE High School Directory,Department of Education (DOE)
67,grade9swdapplicantsperseat3,Text,grade9swdapplicantsperseat3,2019 DOE High School Directory,Department of Education (DOE)
68,admissionspriority58,Text,admissionspriority58,2019 DOE High School Directory,Department of Education (DOE)
69,requirement11_8,Text,requirement11_8,2019 DOE High School Directory,Department of Education (DOE)
70,requirement5_4,Text,requirement5_4,2019 DOE High School Directory,Department of Education (DOE)
71,psal_sports_girls,Text,psal_sports_girls,2019 DOE High School Directory,Department of Education (DOE)
72,code5,Text,code5,2019 DOE High School Directory,Department of Education (DOE)
73,admissionspriority39,Text,admissionspriority39,2019 DOE High School Directory,Department of Education (DOE)
74,common_audition3,Number,common_audition3,2019 DOE High School Directory,Department of Education (DOE)
75,auditioninformation1,Text,auditioninformation1,2019 DOE High School Directory,Department of Education (DOE)
76,requirement5_8,Text,requirement5_8,2019 DOE High School Directory,Department of Education (DOE)
77,seats9ge10,Text,seats9ge10,2019 DOE High School Directory,Department of Education (DOE)
78,grade9swdapplicantsperseat2,Text,grade9swdapplicantsperseat2,2019 DOE High School Directory,Department of Education (DOE)
79,requirement11_5,Text,requirement11_5,2019 DOE High School Directory,Department of Education (DOE)
80,admissionspriority35,Text,admissionspriority35,2019 DOE High School Directory,Department of Education (DOE)
81,grade9geapplicantsperseat4,Text,grade9geapplicantsperseat4,2019 DOE High School Directory,Department of Education (DOE)
82,code2,Text,code2,2019 DOE High School Directory,Department of Education (DOE)
83,BIN,Number,bin,2019 DOE High School Directory,Department of Education (DOE)
84,appperseat2specialized,Number,appperseat2specialized,2019 DOE High School Directory,Department of Education (DOE)
85,requirement6_3,Text,requirement6_3,2019 DOE High School Directory,Department of Education (DOE)
86,seats9ge4,Text,seats9ge4,2019 DOE High School Directory,Department of Education (DOE)
87,requirement2_3,Text,requirement2_3,2019 DOE High School Directory,Department of Education (DOE)
88,diplomaendorsements,Text,diplomaendorsements,2019 DOE High School Directory,Department of Education (DOE)
89,state_code,Text,state_code,2019 DOE High School Directory,Department of Education (DOE)
90,seats5specialized,Number,seats5specialized,2019 DOE High School Directory,Department of Education (DOE)
91,grade9swdapplicantsperseat5,Text,grade9swdapplicantsperseat5,2019 DOE High School Directory,Department of Education (DOE)
92,academicopportunities2,Text,academicopportunities2,2019 DOE High School Directory,Department of Education (DOE)
93,academicopportunities1,Text,academicopportunities1,2019 DOE High School Directory,Department of Education (DOE)
94,boro,Text,boro,2019 DOE High School Directory,Department of Education (DOE)
95,school_name,Text,school_name,2019 DOE High School Directory,Department of Education (DOE)
96,school_10th_seats,Text,school_10th_seats,2019 DOE High School Directory,Department of Education (DOE)
97,overview_paragraph,Text,overview_paragraph,2019 DOE High School Directory,Department of Education (DOE)
98,dbn,Text,dbn,2019 DOE High School Directory,Department of Education (DOE)
99,NTA,Text,nta,2019 DOE High School Directory,Department of Education (DOE)
100,BBL,Number,bbl,2019 DOE High School Directory,Department of Education (DOE)
101,Longitude,Number,longitude,2019 DOE High School Directory,Department of Education (DOE)
102,common_audition7,Number,common_audition7,2019 DOE High School Directory,Department of Education (DOE)
103,common_audition10,Number,common_audition10,2019 DOE High School Directory,Department of Education (DOE)
104,common_audition9,Number,common_audition9,2019 DOE High School Directory,Department of Education (DOE)
105,common_audition5,Number,common_audition5,2019 DOE High School Directory,Department of Education (DOE)
106,common_audition1,Number,common_audition1,2019 DOE High School Directory,Department of Education (DOE)
107,auditioninformation7,Text,auditioninformation7,2019 DOE High School Directory,Department of Education (DOE)
108,admissionspriority210,Text,admissionspriority210,2019 DOE High School Directory,Department of Education (DOE)
