,name,field_type,field_name,description,dataset-id,dataset_link,portal
6,DOBRunDate,Calendar date,dobrundate,Date when query is run and pushed to Open Data. Could be used to differentiate report dates.,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
7,Zip,Text,zip,Zip,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
8,State,Text,state,State,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
10,Owner Type,Text,owner_type,Owner Type,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
34,Owner's Last Name,Text,owner_s_last_name,Last Name of property owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
48,BUILDING_CLASS,Text,building_class,Building Class,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
52,Street Name,Text,street_name,Street Name where Property is located,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
55,Owner's Business Name,Text,owner_s_business_name,Business Name of Property Owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
65,Job Description,Text,job_description,Job Description,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
67,Other,Text,other,"Other? (X=Yes, Blank=No)",ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
68,Job Type,Text,job_type,"Job Type, based on DOB Job Code (NB-New Building, A1, A2, A3- Alterations 1-3, SG-Sign, etc.)",ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
70,Owner's First Name,Text,owner_s_first_name,First Name of property owner,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
81,Non-Profit,Text,non_profit,Non-Profit,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
85,Lot,Text,lot,Tax lot assigned by Department of Finance,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
86,Building Type,Text,building_type,1-2-3 Family  or Other,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
90,Block,Text,block,Tax block assigned by Department of Finance,ic3t-wcy2,https://data.cityofnewyork.us/d/ic3t-wcy2,data.cityofnewyork
